brand,model,segment,state,purchase_year,price,fuel_type,engine_cc,avg_daily_usage_km,insurance_status,resale_value
Honda,Shine,Commuter,Karnataka,2016,77630.0,Petrol,123.0,46.0,Active,26984.0
TVS,Jupiter,Commuter,Maharashtra,2019,72046.0,Petrol,104.0,34.5,Active,25862.0
Honda,Unicorn,Commuter,Rajasthan,2022,92708.0,Petrol,120.0,42.8,Active,59921.0
Yamaha,Fascino 125,Sports,Tamil Nadu,2016,96022.0,Petrol,151.0,2.0,Active,24039.0
TVS,Ntorq 125,Commuter,Uttar Pradesh,2017,108976.0,Petrol,120.0,39.5,Active,26823.0
Hero,Glamour,Commuter,Telangana,2024,92849.0,Petrol,116.0,49.9,None,59114.0
TVS,Ntorq 125,Commuter,Uttar Pradesh,2021,69045.0,Petrol,110.0,27.9,Active,29533.0
Bajaj,Platina 110,Sports,Madhya Pradesh,2019,97173.0,Petrol,212.0,19.4,Active,31562.0
Hero,Splendor Plus,Commuter,Madhya Pradesh,2021,63837.0,Petrol,105.0,34.9,Active,32738.0
TVS,Jupiter,Commuter,Madhya Pradesh,2023,72204.0,Petrol,101.0,51.7,Active,51381.0
Honda,SP 125,Commuter,Telangana,2020,113495.0,Petrol,101.0,34.8,None,59751.0
Bajaj,Platina 110,Sports,Haryana,2025,129212.0,Petrol,229.0,48.9,Active,129588.0
Hero,Xtreme 160R,Commuter,Gujarat,2021,71445.0,Petrol,118.0,20.3,Active,37426.0
TVS,Jupiter,Commuter,Karnataka,2018,100353.0,Petrol,102.0,31.7,Active,29011.0
Bajaj,CT 100,Sports,Uttar Pradesh,2018,88384.0,Petrol,185.0,3.8,Active,26433.0
Hero,HF Deluxe,Commuter,Bihar,2025,82355.0,Petrol,104.0,45.9,Active,77228.0
TVS,Jupiter,Commuter,Andhra Pradesh,2024,93947.0,Petrol,105.0,36.2,Active,68238.0
TVS,Apache RTR 160,Commuter,Telangana,2021,104350.0,Petrol,125.0,58.8,Active,47327.0
Honda,Hornet 2.0,Commuter,Uttar Pradesh,2019,72342.0,Petrol,114.0,23.9,Active,35203.0
TVS,Ntorq 125,Commuter,Andhra Pradesh,2016,85530.0,Petrol,104.0,65.0,Expired,17328.0
TVS,Apache RTR 160,Commuter,Madhya Pradesh,2020,93831.0,Petrol,116.0,16.0,None,34543.0
Hero,Xtreme 160R,Commuter,Madhya Pradesh,2024,89556.0,Petrol,111.0,24.9,Active,70696.0
Honda,Hornet 2.0,Commuter,Gujarat,2022,89850.0,Petrol,116.0,33.9,Active,54930.0
Honda,Hornet 2.0,Commuter, Gujarat ,2020,66853.0,Petrol,113.0,22.8,Active,38717.0
Honda,Unicorn,Commuter,Karnataka,2019,94096.0,Petrol,117.0,14.8,Expired,39928.0
TVS,Sport,Commuter,Gujarat,2023,67337.0,Petrol,108.0,48.5,Active,41115.0
Royal Enfield,Meteor 350,Cruiser,West Bengal,2020,251196.0,Petrol,350.0,37.7,Active,163760.0
Royal Enfield,Classic 350,Cruiser,West Bengal,2019,346541.0,Petrol,350.0,32.6,Active,209185.0
Honda,Shine,Commuter,Telangana,2024,94377.0,Petrol,118.0,33.0,Active,88600.0
Ather,Rizta,Electric,Tamil Nadu,2016,111419.0,Electric,0.0,41.8,Active,8914.0
TVS,Raider 125,Commuter,Maharashtra,2023,94644.0,Petrol,114.0,16.3,Active,63488.0
Honda,Shine,Commuter,Rajasthan,2019,87623.0,Petrol,114.0,23.5,Active,45954.0
Bajaj,Avenger 160,Sports,West Bengal,2020,122094.0,Petrol,204.0,22.1,Active,47920.0
TVS,Raider 125,Commuter,Odisha,2019,105273.0,Petrol,119.0,41.2,Active,37492.0
Royal Enfield,Meteor 350,Cruiser,Kerala,2016,278287.0,Petrol,349.0,25.9,Active,140549.0
Yamaha,FZ-S FI,Sports,Maharashtra,2016,137112.0,Petrol,175.0,19.5,Active,34658.0
Bajaj,Avenger 160,Sports,Karnataka,2020,107668.0,Petrol,208.0,23.7,Active,40335.0
TVS,Sport,Commuter,Madhya Pradesh,2024,106558.0,Petrol,103.0,38.8,Active,79132.0
Bajaj,Platina 110,Sports,Karnataka,2024,104023.0,Petrol,239.0,25.4,Active,74215.0
Honda,SP 125,Commuter,Uttar Pradesh,2023,98673.0,Petrol,124.0,39.6,Active,74487.0
Hero,Xtreme 160R,Commuter,Gujarat,2020,68206.0,Petrol,106.0,37.8,Active,31833.0
Hero,Glamour,Commuter,Madhya Pradesh,2018,94820.0,Petrol,124.0,40.1,Active,32192.0
TVS,Raider 125,Commuter,Haryana,2023,75047.0,Petrol,103.0,27.7,Active,51694.0
Hero,HF Deluxe,Commuter,West Bengal,2021,78277.0,Petrol,102.0,40.7,Active,43373.0
Hero,Xtreme 160R,Commuter,Kerala,2023,88046.0,Petrol,105.0,37.0,,56550.0
Bajaj,Avenger 160,Sports,Karnataka,2020,116689.0,Petrol,222.0,48.7,Active,42963.0
Suzuki,Burgman Street,Commuter,Maharashtra,2017,125224.0,Petrol,100.0,31.8,Active,26448.0
Hero,Glamour,Commuter,Uttar Pradesh,2021,61737.0,Petrol,125.0,34.9,Expired,29088.0
Bajaj,Pulsar NS200,Sports,Madhya Pradesh,2016,117737.0,Petrol,207.0,15.3,Active,25568.0
Hero,Glamour,Commuter,Odisha,2018,62124.0,Petrol,108.0,27.1,Active,22209.0
Hero,Splendor Plus,Commuter,Telangana,2025,66565.0,Petrol,120.0,55.0,Expired,54239.0
Honda,Hornet 2.0,Commuter,Telangana,2018,98001.0,Petrol,116.0,29.2,Active,46763.0
Bajaj,Avenger 160,Sports,Telangana,2022,94360.0,Petrol,160.0,34.9,Active,46674.0
Honda,SP 125,Commuter,Maharashtra,2018,112364.0,Petrol,120.0,43.2,Active,47811.0
Ather,450S,Electric,West Bengal,2017,148185.0,Electric,0.0,2.0,Expired,11855.0
Suzuki,Burgman Street,Commuter,Maharashtra,2020,70727.0,Petrol,121.0,44.0,Active,27494.0
Royal Enfield,Meteor 350,Cruiser,Uttar Pradesh,2024,348795.0,Petrol,350.0,14.7,Active,335422.0
KTM,RC 200,Sports,Madhya Pradesh,2020,266170.0,Petrol,162.0,10.7,Active,68884.0
Honda,SP 125,Commuter,Maharashtra,2019,66495.0,Petrol,124.0,29.1,Active,28131.0
Honda,Shine,Commuter,Telangana,2019,87660.0,Petrol,104.0,45.6,Active,43932.0
TVS,Ntorq 125,Commuter,Uttar Pradesh,2023,68521.0,Petrol,124.0,46.3,Expired,43309.0
Hero,HF Deluxe,Commuter,Gujarat,2016,90797.0,Petrol,102.0,39.3,Active,25371.0
Hero,HF Deluxe,Commuter,Haryana,2019,78618.0,Petrol,113.0,42.0,Active,32635.0
Suzuki,Avenis,Commuter,Odisha,2018,124331.0,Petrol,106.0,43.3,Expired,26240.0
TVS,Jupiter,Commuter,Rajasthan,2016,103621.0,Petrol,105.0,43.6,Active,22294.0
Bajaj,Pulsar NS200,Sports,West Bengal,2023,148022.0,Petrol,229.0,12.1,Active,81956.0
Honda,Activa 6G,Commuter,Karnataka,2016,81120.0,Petrol,120.0,44.6,Expired,27008.0
Royal Enfield,Meteor 350,Cruiser,Kerala,2025,263948.0,PETROL,349.0,21.8,None,205656.0
TVS,Sport,Commuter,Telangana,2025,64723.0,Petrol,112.0,26.9,Active,61332.0
Royal Enfield,Hunter 350,Cruiser,Karnataka,2018,229424.0,Petrol,349.0,29.0,Active,121447.0
Hero,HF Deluxe,Commuter,West Bengal,2018,61477.0,Petrol,119.0,25.4,Active,22305.0
Honda,Unicorn,Commuter,Delhi,2017,78947.0,Petrol,109.0,34.0,Active,31172.0
Ola Electric,S1 Air,Electric,Rajasthan,2017,128140.0,Electric,0.0,2.0,Active,10251.0
Honda,Shine,Commuter,Uttar Pradesh,2025,103013.0,Petrol,124.0,27.0,Active,96324.0
Ola Electric,S1 X,Electric,Tamil Nadu,2025,103396.0,Electric,0.0,15.0,Expired,78823.0
Yamaha,Fascino 125,Sports,Gujarat,2018,129881.0,Petrol,203.0,3.4,Expired,40228.0
Royal Enfield,Meteor 350,Cruiser,Punjab,2019,202722.0,Petrol,350.0,40.7,Expired,112215.0
Hero,Passion Pro,Commuter,Tamil Nadu,2025,82124.0,Petrol,121.0,42.6,Active,75883.0
Hero,Splendor Plus,Commuter,Andhra Pradesh,2022,65025.0,Petrol,108.0,32.4,Active,42425.0
TVS,Apache RTR 160,Commuter,West Bengal,2025,67514.0,Petrol,100.0,47.5,Active,59587.0
Honda,Activa 6G,Commuter,Maharashtra,2024,79491.0,Petrol,101.0,34.4,Active,63942.0
TVS,Apache RTR 160,Commuter,Uttar Pradesh,2024,63427.0,Petrol,120.0,56.4,Active,46955.0
Honda,Hornet 2.0,Commuter,Odisha,2018,90326.0,Petrol,125.0,49.5,Active,40254.0
Hero,HF Deluxe,Commuter,Karnataka,2016,75131.0,Petrol,111.0,35.8,Active,21172.0
TVS,Apache RTR 160,Commuter,Bihar,2021,77955.0,Petrol,104.0,30.2,Active,38892.0
Honda,SP 125,Commuter,Madhya Pradesh,2020,115818.0,Petrol,100.0,54.5,Expired,56964.0
Hero,HF Deluxe,Commuter,Rajasthan,2019,91929.0,Petrol,113.0,37.5,Active,38051.0
Bajaj,Platina 110,Sports,Madhya Pradesh,2016,106146.0,Petrol,177.0,26.0,Active,20360.0
Hero,Xtreme 160R,Commuter,Uttar Pradesh,2024,74876.0,Petrol,103.0,43.0,Expired,58828.0
Hero,HF Deluxe,Commuter,Haryana,2022,71663.0,Petrol,124.0,26.2,Active,46224.0
KTM,Duke 200,Sports,Bihar,2018,216678.0,Petrol,185.0,18.9,None,33874.0
Yamaha,R15 V4,Sports,Rajasthan,2023,130579.0,Petrol,226.0,23.8,Active,93729.0
Bajaj,Platina 110,Sports,Haryana,2023,143447.0,Petrol,153.0,31.7,Active,96053.0
Ola Electric,S1 Pro,Electric,West Bengal,2020,95273.0,Electric,0.0,3.8,Active,13424.0
Ather,450S,Electric,Haryana,2017,139962.0,Electric,0.0,25.7,Active,11274.0
Hero,Glamour,Commuter,Gujarat,2016,59126.0,Petrol,116.0,18.1,Expired,15178.0
Honda,Activa 6G,Commuter,Karnataka,2019,93258.0,Petrol,101.0,24.7,Active,45207.0
Ather,450X,Electric,Uttar Pradesh,2023,127877.0,Electric,0.0,17.9,Active,53194.0
Yamaha,R15 V4,Sports,Gujarat,2020,135196.0,Petrol,224.0,22.6,Expired,53047.0
Hero,Xtreme 160R,Commuter,Bihar,2022,71819.0,Petrol,118.0,33.0,Active,44870.0
KTM,Duke 200,Sports,Gujarat,2018,215798.0,Petrol,176.0,23.4,Active,39955.0
TVS,Ntorq 125,Commuter,Tamil Nadu,2025,68452.0,Petrol,125.0,54.2,Expired,53619.0
TVS,Sport,Commuter,Madhya Pradesh,2023,61116.0,PETROL,105.0,44.0,Active,36848.0
Hero,Splendor Plus,Commuter,Odisha,2022,92171.0,Petrol,112.0,36.1,Active,55633.0
Hero,Glamour,Commuter,Kerala,2020,61727.0,Petrol,103.0,43.3,Active,28033.0
TVS,Sport,Commuter,Rajasthan,2018,81110.0,Petrol,120.0,46.0,Active,26021.0
Honda,Unicorn,Commuter,Bihar,2019,96693.0,Petrol,,37.6,Active,47035.0
Hero,Glamour,Commuter,Uttar Pradesh,2023,55272.0,Petrol,107.0,17.1,Active,37054.0
Honda,Hornet 2.0,Commuter,Bihar,2020,108213.0,Petrol,118.0,25.0,Expired,55477.0
Ather,Rizta,Electric,Uttar Pradesh,2025,151211.0,Electric,0.0,17.4,Active,105118.0
Hero,HF Deluxe,Commuter,West Bengal,2021,94591.0,Petrol,103.0,26.2,Active,52807.0
Honda,Shine,Commuter,Uttar Pradesh,2019,79540.0,Petrol,106.0,29.9,Active,37797.0
Honda,SP 125,Commuter,Maharashtra,2024,114526.0,Petrol,114.0,54.4,Expired,93386.0
TVS,Raider 125,Commuter,Maharashtra,2018,100705.0,Petrol,107.0,40.0,Active,27725.0
Royal Enfield,Meteor 350,Cruiser,Maharashtra,2020,286416.0,Petrol,349.0,32.4,Active,220811.0
Ola Electric,S1 Air,Electric,Gujarat,2025,93248.0,Electric,0.0,27.9,Active,79854.0
KTM,Duke 390,Sports,Karnataka,2019,284135.0,Petrol,205.0,2.0,Active,70823.0
Honda,Activa 6G,Commuter,Bihar,2016,115024.0,Petrol,120.0,20.9,Active,37349.0
Honda,Unicorn,Commuter,Telangana,2016,103988.0,Petrol,124.0,48.2,Expired,35002.0
Hero,Passion Pro,Commuter,Tamil Nadu,2017,77855.0,Petrol,113.0,29.9,Active,26322.0
KTM,RC 200,Sports,Gujarat,2019,263549.0,Petrol,240.0,31.4,Expired,61030.0
Bajaj,Avenger 160,Sports,Madhya Pradesh,2017,113028.0,Petrol,246.0,22.0,Active,28498.0
Bajaj,Pulsar 150,Sports,Rajasthan,2025,124613.0,Petrol,222.0,2.0,Active,105783.0
Honda,SP 125,Commuter,Karnataka,2019,119813.0,Petrol,117.0,44.4,Active,56791.0
Honda,Shine,Commuter,Delhi,2018,108158.0,Petrol,121.0,61.6,Active,47035.0
Hero,HF Deluxe,Commuter,Gujarat,2016,92260.0,Petrol,123.0,23.2,Active,28090.0
Honda,Shine,Commuter,Gujarat,2022,65650.0,Petrol,109.0,40.3,Active,47598.0
Bajaj,Platina 110,Sports,Rajasthan,2019,145172.0,Petrol,235.0,23.5,None,43011.0
TVS,Sport,Commuter,Uttar Pradesh,2025,75754.0,Petrol,108.0,22.0,Active,58107.0
Bajaj,CT 100,Sports,Tamil Nadu,2021,100176.0,Petrol,237.0,6.6,Active,47494.0
Ola Electric,S1 X,Electric,Delhi,2016,96463.0,Electric,0.0,39.7,Active,7717.0
Hero,Passion Pro,Commuter,Uttar Pradesh,2024,88982.0,Petrol,117.0,15.4,Active,70929.0
Honda,Activa 6G,Commuter,Telangana,2017,113271.0,Petrol,119.0,40.4,Active,39768.0
Hero,HF Deluxe,Commuter,Maharashtra,2022,88794.0,Petrol,104.0,30.6,Active,53289.0
Honda,Activa 6G,Commuter,Delhi,2016,89411.0,Petrol,106.0,32.6,Active,29184.0
Honda,Activa 6G,Commuter,Uttar Pradesh,2021,94823.0,Petrol,120.0,39.6,Active,64840.0
TVS,Sport,Commuter,Delhi,2018,85441.0,Petrol,103.0,21.1,Expired,28328.0
KTM,Duke 200,Sports,Telangana,2025,194023.0,Petrol,163.0,5.6,Active,161515.0
Hero,Splendor Plus,Commuter,Telangana,2025,79135.0,Petrol,124.0,25.7,Active,79238.0
Honda,Shine,Commuter,Maharashtra,2016,69871.0,Petrol,101.0,28.6,Active,25732.0
Hero,HF Deluxe,Commuter,Gujarat,2023,82238.0,Petrol,112.0,33.6,Active,55387.0
Suzuki,Gixxer,Commuter,Uttar Pradesh,2016,112587.0,Petrol,107.0,38.8,Expired,19552.0
Honda,SP 125,Commuter,Tamil Nadu,2017,107590.0,Petrol,101.0,10.3,Active,45193.0
Hero,Xtreme 160R,Commuter,Gujarat,2019,85752.0,Petrol,122.0,55.5,Active,37064.0
Bajaj,Platina 110,Sports,Uttar Pradesh,2016,106008.0,Petrol,212.0,24.8,Active,20508.0
Honda,Shine,Commuter,Gujarat,2019,68241.0,Petrol,123.0,27.0,Active,30384.0
Royal Enfield,Meteor 350,Cruiser,Haryana,2024,302053.0,Petrol,349.0,,Active,275029.0
Hero,Passion Pro,Commuter,Telangana,2022,92390.0,Petrol,119.0,40.7,Expired,58881.0
Yamaha,MT-15,Sports,Tamil Nadu,2022,131364.0,Petrol,248.0,26.6,Active,76377.0
Honda,Hornet 2.0,Commuter,Bihar,2020,99206.0,Petrol,124.0,36.6,Active,58831.0
Honda,Hornet 2.0,Commuter,Maharashtra,2016,119732.0,Petrol,102.0,43.0,Active,48245.0
Hero,Splendor Plus,Commuter,Telangana,2024,94325.0,Petrol,100.0,25.3,None,63935.0
Bajaj,CT 100,Sports,Gujarat,2024,123228.0,Petrol,158.0,6.0,Active,88105.0
Honda,Shine,Commuter,Gujarat,2016,112067.0,Petrol,110.0,31.6,Active,42643.0
Bajaj,Platina 110,Sports,Karnataka,2018,129836.0,Petrol,189.0,41.6,Expired,30106.0
Hero,HF Deluxe,Commuter,Tamil Nadu,2019,58303.0,Petrol,111.0,23.0,Active,23208.0
Hero,Xtreme 160R,Commuter,Punjab,2025,80603.0,Petrol,102.0,30.1,Active,73627.0
Hero,Passion Pro,Commuter,Bihar,2018,92252.0,Petrol,122.0,66.2,Expired,29710.0
Hero,HF Deluxe,Commuter,Tamil Nadu,2024,66231.0,Petrol,106.0,38.0,Active,
Royal Enfield,Meteor 350,Cruiser,Gujarat,2022,199190.0,Petrol,349.0,33.9,Active,163661.0
Hero,Glamour,Commuter,Haryana,2021,73496.0,Petrol,100.0,42.1,Active,40758.0
Honda,Unicorn,Commuter,Tamil Nadu,2025,82932.0,Petrol,112.0,50.6,Expired,71257.0
Ather,Rizta,Electric,Telangana,2025,121550.0,Electric,0.0,24.4,None,78743.0
KTM,Duke 390,Sports,Tamil Nadu,2017,187707.0,Petrol,207.0,19.1,Expired,25085.0
Ather,Rizta,Electric,Andhra Pradesh,2023,130788.0,Electric,0.0,25.4,Active,
Ola Electric,S1 Air,Electric,Bihar,2017,120625.0,Electric,0.0,34.6,Expired,9650.0
Royal Enfield,Meteor 350,Cruiser,Tamil Nadu,2023,195333.0,Petrol,349.0,27.1,,
Honda,Unicorn,Commuter,Maharashtra,2022,98142.0,Petrol,117.0,29.5,Active,69131.0
Yamaha,Fascino 125,Sports,Telangana,2019,185525.0,Petrol,241.0,29.6,Active,69114.0
Hero,HF Deluxe,Commuter,Tamil Nadu,2024,86751.0,Petrol,107.0,34.5,None,58534.0
Honda,Shine,Commuter,Rajasthan,2022,66174.0,Petrol,110.0,46.5,Active,43439.0
Honda,Shine,Commuter,Tamil Nadu,2017,102353.0,Petrol,112.0,30.7,Active,39747.0
Hero,HF Deluxe,Commuter,Bihar,2023,58422.0,Petrol,108.0,38.1,Active,41789.0
Honda,SP 125,Commuter,Bihar,2021,116854.0,Petrol,121.0,17.2,,67367.0
Honda,SP 125,Commuter,Tamil Nadu,2018,68493.0,Petrol,118.0,30.3,Active,32158.0
Hero,Splendor Plus,Commuter,West Bengal,2025,92519.0,Petrol,123.0,24.0,Active,79226.0
TVS,Apache RTR 160,Commuter,Telangana,2022,90297.0,Petrol,112.0,44.4,Expired,45334.0
Honda,Activa 6G,Commuter,Uttar Pradesh,2022,76654.0,Petrol,112.0,15.3,Active,46769.0
Bajaj,Pulsar NS200,Sports,Rajasthan,2017,95702.0,Petrol,171.0,30.7,Active,21730.0
Ather,450X,Electric,Andhra Pradesh,2025,151037.0,Electric,0.0,12.8,Expired,108926.0
Royal Enfield,Bullet 350,Cruiser,Maharashtra,2019,322471.0,Petrol,350.0,23.1,Active,215196.0
Royal Enfield,Bullet 350,Cruiser,Rajasthan,2017,259282.0,Petrol,350.0,34.8,Expired,141478.0
TVS,Raider 125,Commuter,Karnataka,2020,101461.0,Petrol,108.0,35.8,Expired,35780.0
Hero,HF Deluxe,Commuter,Karnataka,2019,61300.0,Petrol,100.0,23.4,,25741.0
Honda,Unicorn,Commuter,Rajasthan,2018,87841.0,Petrol,117.0,37.2,Active,39995.0
Hero,Glamour,Commuter,Odisha,2020,63092.0,Petrol,103.0,39.4,Active,30011.0
Honda,Shine,Commuter,Tamil Nadu,2017,112711.0,Petrol,106.0,36.8,Active,40337.0
TVS,Ntorq 125,Commuter,Telangana,2019,106490.0,Petrol,123.0,41.0,Expired,32462.0
Honda,Hornet 2.0,Commuter,Kerala,2022,105441.0,Petrol,112.0,42.8,Expired,
Honda,Unicorn,Commuter,Tamil Nadu,2017,103134.0,Petrol,101.0,22.3,Active,42872.0
Bajaj,Platina 110,Sports,Gujarat,2017,135249.0,Petrol,216.0,39.0,Active,30353.0
Bajaj,CT 100,Sports,Gujarat,2018,93914.0,Petrol,171.0,29.0,Active,29554.0
TVS,Ntorq 125,Commuter,Uttar Pradesh,2016,67997.0,Petrol,112.0,38.9,Active,15490.0
Royal Enfield,Meteor 350,Cruiser,Maharashtra,2019,371518.0,Petrol,349.0,2.0,Active,209771.0
Bajaj,Pulsar NS200,Sports,Uttar Pradesh,2021,138633.0,Petrol,228.0,39.4,Active,58683.0
Bajaj,CT 100,Sports,Andhra Pradesh,2020,96365.0,Petrol,249.0,36.1,Active,36763.0
Bajaj,Avenger 160,Sports,Delhi,2025,145490.0,Petrol,167.0,25.8,,117338.0
Royal Enfield,Hunter 350,Cruiser,Kerala,2020,211725.0,Petrol,349.0,24.6,None,127841.0
Honda,Activa 6G,Commuter,Uttar Pradesh,2016,84672.0,Petrol,118.0,23.7,Active,31231.0
TVS,Jupiter,Commuter,Karnataka,2018,100890.0,Petrol,100.0,35.7,Expired,29114.0
Hero,Xtreme 160R,Commuter,Tamil Nadu,2022,67699.0,Petrol,115.0,32.4,None,35170.0
Honda,Shine,Commuter,Bihar,2022,102429.0,Petrol,111.0,29.3,None,57521.0
TVS,Sport,Commuter,Karnataka,2024,69419.0,Petrol,,19.8,Active,52625.0
